No,名前,生年月日,血液型,SNSアカウント
1,山本彩,1993/7/14,B型,https://twitter.com/SayakaNeon
2,大谷翔平,1994/7/5,B型,https://www.instagram.com/shoheiohtani/?hl=ja
3,鎮西寿々歌,1998/11/24,AB型,https://twitter.com/suzuka_fz1124
4,よしなま,1996/1//30,不明,https://twitter.com/yosi980
5,Mハシ,1995/2/15,不明,https://twitter.com/Mhashi0801
